"Ubicación representativa del clúster: Calle Minerva, Colonia Florida, Ciudad de México, Álvaro Obregón, Ciudad de México, 01030, México, ""Baja"":0.3333333333333333, ""Moderada"":0.16666666666666666, ""Alta"":0.5, cluster 0 con 6 elementos."
"Ubicación representativa del clúster: Calle José María Morelos, San Jerónimo Aculco-Lídice, Ciudad de México, La Magdalena Contreras, Ciudad de México, 10200, México, ""Baja"":0.16666666666666666, ""Moderada"":0.3333333333333333, ""Alta"":0.5, cluster 1 con 6 elementos."
"Ubicación representativa del cúmulo: Calle José María Morelos, San Jerónimo Aculco-Lídice, Ciudad de México, La Magdalena Contreras, Ciudad de México, 10200, México, ""Baja"":0.0, ""Moderada"":0.5, ""Alta"":0.5, cúmulo 0 con 4 elementos."
"Ubicación representativa del cúmulo: Calle 5 de Septiembre, Colonia Felipe Pescador, Juchitán, Juchitán de Zaragoza, Oaxaca, 70000, México, ""Baja"":0.0, ""Moderada"":0.0, ""Alta"":1.0, cúmulo 1 con 2 elementos."
"Ubicación representativa del cúmulo: Calle José María Morelos, San Jerónimo Aculco-Lídice, Ciudad de México, La Magdalena Contreras, Ciudad de México, 10200, México, ""Baja"":0.0, ""Moderada"":0.4, ""Alta"":0.6, cúmulo 0 con 5 elementos."
"Ubicación representativa del cúmulo: Calle 5 de Septiembre, Colonia Felipe Pescador, Juchitán, Juchitán de Zaragoza, Oaxaca, 70000, México, ""Baja"":0.0, ""Moderada"":0.0, ""Alta"":1.0, cúmulo 1 con 2 elementos."
"Cúmulo 0 con 6 elementos: ""Baja"":0.16666666666666666, ""Moderada"":0.3333333333333333, ""Alta"":0.5."
"Cúmulo 1 con 2 elementos: ""Baja"":0.0, ""Moderada"":0.0, ""Alta"":1.0."
"Ubicación representativa del cúmulo: Calle José María Morelos, San Jerónimo Aculco-Lídice, Ciudad de México, La Magdalena Contreras, Ciudad de México, 10200, México, ""Baja"":0.16666666666666666, ""Moderada"":0.3333333333333333, ""Alta"":0.5, cúmulo 0 con 6 elementos."
"Ubicación representativa del cúmulo: Calle 5 de Septiembre, Colonia Felipe Pescador, Juchitán, Juchitán de Zaragoza, Oaxaca, 70000, México, ""Baja"":0.0, ""Moderada"":0.0, ""Alta"":1.0, cúmulo 1 con 2 elementos."
"Ubicación representativa del cúmulo: Calle José María Morelos, San Jerónimo Aculco-Lídice, Ciudad de México, La Magdalena Contreras, Ciudad de México, 10200, México, ""Baja"":0.16666666666666666, ""Moderada"":0.3333333333333333, ""Alta"":0.5, cúmulo 0 con 6 elementos."
"Ubicación representativa del cúmulo: Calle 5 de Septiembre, Colonia Felipe Pescador, Juchitán, Juchitán de Zaragoza, Oaxaca, 70000, México, ""Baja"":0.0, ""Moderada"":0.0, ""Alta"":1.0, cúmulo 1 con 2 elementos."
"Ubicación representativa del cúmulo: Calle José María Morelos, San Jerónimo Aculco-Lídice, Ciudad de México, La Magdalena Contreras, Ciudad de México, 10200, México, ""Baja"":0.16666666666666666, ""Moderada"":0.3333333333333333, ""Alta"":0.5, cúmulo 0 con 6 elementos."
"Ubicación representativa del cúmulo: Calle 5 de Septiembre, Colonia Felipe Pescador, Juchitán, Juchitán de Zaragoza, Oaxaca, 70000, México, ""Baja"":0.0, ""Moderada"":0.0, ""Alta"":1.0, cúmulo 1 con 2 elementos."
"Ubicación representativa del cúmulo: General Levalle, Pedanía La Amarga, Departamento Presidente Roque Sáenz Peña, Córdoba, X6120, Argentina, ""Baja"":0.0, ""Moderada"":0.0, ""Alta"":1.0, cúmulo 2 con 2 elementos."
"Ubicación representativa del cúmulo: Calle José María Morelos, San Jerónimo Aculco-Lídice, Ciudad de México, La Magdalena Contreras, Ciudad de México, 10200, México, ""Baja"":0.16666666666666666, ""Moderada"":0.3333333333333333, ""Alta"":0.5, cúmulo 0 con 6 elementos."
"Ubicación representativa del cúmulo: Calle 5 de Septiembre, Colonia Felipe Pescador, Juchitán, Juchitán de Zaragoza, Oaxaca, 70000, México, ""Baja"":0.0, ""Moderada"":0.0, ""Alta"":1.0, cúmulo 1 con 2 elementos."
